name,domain
solvay,solvay.com
world vision,wvi.org
syntel,syntelinc.com
northwell health,northwell.edu
hyatt hotels corporation,hyatt.com
"alcon, a novartis company",alcon.com
allergan,allergan.com
bechtel corporation,bechtel.com
kpn,kpn.com
pacific gas and electric company,pge.com
prosegur,prosegur.com
home depot,
ingram micro,ingrammicro.com
nxp semiconductors,nxp.com
emerson,
fedex ground,
dollar general,dollargeneral.com
cornell university,cornell.edu
dhl supply chain,
arup,arup.com
british army,mod.uk
macquarie group,macquarie.com
msd,msd.com
aurora health care,aurorahealthcare.org
panera bread,panerapeople.com
idea cellular ltd,ideacellular.com
massachusetts institute of technology (mit),mit.edu
danske bank,danskebank.com
sutter health,sutterhealth.org
kpmg uk,
citizens bank,citizensbank.com
bnp paribas fortis,bnpparibasfortis.com
decathlon france,decathlon.fr
university of maryland,umd.edu
natura,natura.com.br
"expedia, inc.",lifeatexpedia.com
hcl infosystems ltd,hclinfosystems.com
"kbr, inc.",kbr.com
undp,undp.org
sitel,sitel.com
indian oil corporation limited,iocl.com
infor,infor.com
"university of california, san diego",ucsd.edu
ucsf,ucsf.edu
domino's pizza,dominos.com
engie,engie.com
asml,asml.com
gartner,gartner.com
parexel,parexel.com
the university of british columbia,ubc.ca
ambev,ambev.com.br
micron technology,micron.com
university college london,ucl.ac.uk
ca technologies,ca.com
the estée lauder companies inc.,elcompanies.jobs
department of national defence,forces.gc.ca
dbs bank,dbs.com
seagate technology,seagate.com
ricoh americas corporation,ricoh-usa.com
telefônica brasil,telefonica.com.br
university of pittsburgh,pitt.edu
md anderson cancer center,cancerpreventiontraining.org
mtn,mtn.com
snc-lavalin,snclavalin.com
sanmina,sanmina.com
department for work and pensions (dwp),dwp.gov.uk
uc davis,ucdavis.edu
mahindra & mahindra,mahindra.com
kone,kone.com
atento,atento.com
rsm us llp,rsmus.com
cemex,cemex.com
verizon business,verizonenterprise.com
pratt & whitney,utc.com
shire,shire.com
monash university,monash.edu
us air force reserve,afreserve.com
intermountain healthcare,
the kraft heinz company,kraftheinzcompany.com
cb&i,cbi.com
usda,usda.gov
"securitas security services usa, inc.",securitasinc.com
suncor energy,suncor.com
luxottica,luxottica.com
c&a,c-and-a.com
national institutes of health,nih.gov
kindred healthcare,kindredhealthcare.com
tyson foods,tysonfoods.com
lendlease,lendlease.com
cnrs,cnrs.fr
tieto,tieto.com
british council,britishcouncil.org
sage,sage.com
petrofac,petrofac.com
concentrix,concentrix.com
capgemini consulting,capgemini-consulting.com
paychex,paychex.com
gap inc.,gapinc.com
volkswagen ag,volkswagenag.com
sysco,sysco.com
grainger,grainger.com
colliers international,colliers.com
indiana university bloomington,iub.edu
government of canada,canada.ca
urs corporation,urs.com
hsbc retail banking and wealth management,
motorola solutions,motorolasolutions.com
petsmart,petsmart.com
memorial sloan kettering cancer center,mskcc.org
zimmer biomet,zimmerbiomet.com
transport for london,tfl.gov.uk
netapp,netapp.com
university of illinois at chicago,uic.edu
avaya,avaya.com
repsol,repsol.com
uwv,uwv.nl
sandvik,sandvik.com
odebrecht,odebrecht.com
sandoz,sandoz.com
c.h. robinson,chrobinson.com
aia,aia.com
chanel,chanel.com
jti (japan tobacco international),jti.com
university of north carolina at chapel hill,unc.edu
us foods,usfoods.com
u.s. department of justice,usdoj.gov
cipla,cipla.com
old mutual,oldmutual.com
"the tjx companies, inc.",tjx.com
northwestern university,northwestern.edu
harris corporation,harris.com
express scripts,express-scripts.com
crédit agricole,credit-agricole.com
infineon technologies,infineon.com
mott macdonald,mottmac.com
caci international inc,caci.com
hertz,hertz.com
city of toronto,toronto.ca
adt,adt.com
amadeus it group,amadeus.com
merck group,merckgroup.com
"the ritz-carlton hotel company, l.l.c.",ritzcarlton.com
vestas,vestas.com
robert half,roberthalf.com
indusind bank,indusind.com
nyu langone medical center,nyulangone.org
sogeti,sogeti.com
carlson wagonlit travel,carlsonwagonlit.com
the university of arizona,arizona.edu
university of south florida,usf.edu
colorado state university,colostate.edu
university of melbourne,unimelb.edu.au
cox communications,cox.com
"royal caribbean cruises, ltd.",royalcaribbean.com
wipro bpo,
north carolina state university,ncsu.edu
diebold nixdorf,diebold.com
national bank of canada,nbc.ca
bayer cropscience,
university of cincinnati,uc.edu
ust global,ust-global.com
ge oil & gas,geoilandgas.com
geodis,geodis.com
taco bell,tacobell.com
georgia-pacific llc,gp.com
igate,igate.com
"stanley black & decker, inc.",stanleyblackanddecker.com
red bull,redbull.com
arthur j. gallagher & co.,ajg.com
university of alberta,ualberta.ca
embraer,embraer.com
new york-presbyterian hospital,
raymond james,raymondjames.com
amec foster wheeler,amecfw.com
meijer,meijer.com
labcorp,labcorp.com
coles,coles.com.au
qantas,qantas.com.au
university of kentucky,
us navy reserve,navy.mil
shoppers drug mart,shoppersdrugmart.ca
ups supply chain solutions,ups-scs.com
aricent,aricent.com
duke university,duke.edu
heb,heb.com
parsons corporation,parsons.com
securitas,securitas.nl
keybank,key.com
experian,experian.com
dyncorp international,dyn-intl.com
massmutual financial group,massmutual.com
university of oxford,ox.ac.uk
otis elevator company,otis.com
cameron,c-a-m.com
mindtree,
ralph lauren,ralphlauren.com
takeda pharmaceuticals,takeda.com
"penn medicine, university of pennsylvania health system",pennmedicine.org
maxim healthcare services,maximhealthcare.com
covidien,covidien.com
nomura,nomura.com
anglo american,angloamerican.com
georgia institute of technology,gatech.edu
thyssenkrupp,thyssenkrupp.com
electronic arts (ea),ea.com
johns hopkins university,jhu.edu
"ross stores, inc.",rossstores.com
ingersoll rand,ingersollrand.com
tecnológico de monterrey,itesm.edu
universidade de são paulo,usp.br
pitney bowes,pitneybowes.com
tiaa,tiaa.org
imperial college london,imperial.ac.uk
virtusa,virtusa.com
uk ministry of defence,
swiss re,swissre.com
coty,coty.com
teradata,teradata.com
the university of manchester,manchester.ac.uk
espn,espn.com
boots uk,boots.jobs
corning incorporated,corning.com
intuit,intuit.com
cencosud s.a.,cencosud.com
alcoa,alcoa.com
gap inc./old navy,
dsm,dsm.com
dick's sporting goods,dickssportinggoods.com
vanderbilt university medical center,vanderbilthealth.com
capita,capita.co.uk
ulta beauty,ulta.com
broadcom,broadcom.com
natixis,natixis.com
virginia tech,vt.edu
sanofi pasteur,sanofipasteur.com
ramboll,ramboll.com
washington university in st. louis,wustl.edu
amd,amd.com
university of cambridge,cam.ac.uk
covance,covance.com
american eagle outfitters,ae.com
banamex,citibanamex.com
brigham young university,byu.edu
maersk line,maerskline.com
huntington national bank,huntington.com
bmo harris bank,bmoharris.com
internal revenue service,irs-research.com
coca-cola hellenic bottling company,coca-colahellenic.com
brigham and women's hospital,brighamandwomens.org
us environmental protection agency (epa),epa.gov
gfk,gfk.com
bain & company,bain.com
canadian armed forces | forces armées canadiennes,forces.ca
e.on,eon.com
yahoo,yahoo.com
mufg,mufg.jp
dla piper,dlapiper.com
kmart corporation,kmart.com
autodesk,autodesk.com
vanderbilt university,vanderbilt.edu
mcgill university,mcgill.ca
manpower,manpower.com
iheartmedia,iheartmedia.com
ku leuven,kuleuven.be
kpit,kpit.com
marriott hotels,marriotthotels.com
seb,sebgroup.com
el corte inglés,elcorteingles.es
applebee's,applebees.com
louis vuitton,louisvuitton.com
tim hortons,timhortons.com
hm forces,
bed bath & beyond,bedbathandbeyond.com
avanade,avanade.com
7-eleven,7-eleven.com
university of sydney,sydney.edu.au
dr. reddy's laboratories,drreddys.com
"santander bank, n.a.",santanderbank.com
expeditors,expeditors.com
directv,directv.com
level 3 communications,level3.com
alstom power,
iss facility services a/s,issworld.com
boston university,bu.edu
coca-cola enterprises,ccep.com
wegmans food markets,wegmans.com
politie nederland,kombijdepolitie.nl
emory university,emory.edu
ipsos,ipsos.com
pernod ricard,pernod-ricard.com
woolworths,woolworths.co.za
deutsche gesellschaft für internationale zusammenarbeit (giz) gmbh,giz.de
avery dennison,averydennison.com
national park service,nps.gov
lexisnexis,lexisnexis.com
cea - commissariat à l'énergie atomique et aux énergies alternatives,cea.fr
unhcr,unhcr.org
juniper networks,juniper.net
buffalo wild wings,buffalowildwings.com
banco de crédito bcp,trabajaenelbcp.com
sanofi genzyme,sanofigenzyme.com
baker & mckenzie,bakermckenzie.com
belastingdienst,belastingdienst.nl
usaid,usaid.gov
royal air force,
northeastern university,northeastern.edu
air products,airproducts.com
deloitte uk,deloitte.co.uk
woolworths limited,woolworthsgroup.com.au
university of missouri,missouri.edu
newell brands,newellbrands.com
university of miami,miami.edu
carnival cruise lines,carnival.com
icici prudential life insurance company limited,iciciprulife.com
arrow electronics,arrow.com
gamestop,gamestop.com
philips lighting,
general dynamics,gd.com
fastenal,fastenal.com
lufthansa,lh.com
sykes,sykes.com
loblaw companies limited,loblaw.ca
king's college london,kcl.ac.uk
abercrombie & fitch,abercrombie.com
university of georgia,uga.edu
ogilvy & mather,ogilvy.com
totvs,totvs.com
assurant,assurant.com
university of central florida,ucf.edu
wm morrison supermarkets plc,morrisons.jobs
massage envy,massageenvy.com
forever 21,forever21.com
mazars,mazars.com
hallmark cards,hallmark.com
suncorp group,suncorp.com.au
advance auto parts,advanceautoparts.com
logica,logica.com
infosys bpo,infosysbpm.com
the university of queensland,uq.edu.au
university of calgary,ucalgary.ca
toys r us,toysrusinc.com
skf group,skf.com
deutsche telekom,
florida state university,fsu.edu
caesars entertainment corporation,caesars.com
la fitness,lafitness.com
shangri-la hotels and resorts,shangri-la.com
iowa state university,iastate.edu
boston children's hospital,
crédit agricole cib,ca-cib.com
autozone,autozone.com
temple university,
world health organization,who.int
fannie mae,fanniemae.com
kiewit,kiewit.com
groupon,groupon.com
postnl,postnl.nl
parsons brinckerhoff,wsp.com
ubisoft,ubisoftgroup.com
citrix,citrix.com
university of virginia,virginia.edu
royal navy,
metro cash and carry,metro-cc.com
commerzbank ag,commerzbank.com
gerdau,gerdau.com
canadian tire,canadiantire.ca
family dollar,familydollar.com
barnes & noble,bn.com
"lexmark international, inc.",lexmark.com
stefanini,stefanini.com
nationwide building society,nationwide.co.uk
teach for america,teachforamerica.org
biogen,biogen.com
the church of jesus christ of latter-day saints,lds.org
lcl,lcl.com
bank of china,boc.cn
tui,tuigroup.com
dish network,dish.com
ef education first,ef.com
transocean,deepwater.com
sheraton,sheraton.com
cracker barrel,crackerbarrel.com
oi s.a,oi.com.br
mcmaster university,mcmaster.ca
lloyds bank,lloydsbank.com
dillards,dillards.com
24 hour fitness,24hourfitness.com
oregon state university,oregonstate.edu
ahold,ahold.com
panasonic,panasonic.com
ucb,ucb.com
iron mountain,ironmountain.com
peace corps,peacecorps.gov
hilti,hilti.com
american cancer society,cancer.org
a.t. kearney,atkearney.com
university of houston,uh.edu
tu delft,tudelft.nl
harvard medical school,
the university of edinburgh,ed.ac.uk
universiteit utrecht,uu.nl
optus,optus.com.au
university of nottingham,nottingham.ac.uk
tim brasil,tim.com.br
bennett coleman and co. ltd. (times group),timesgroup.com
regus,regus.com
bath & body works,bathandbodyworks.com
michael page,page.com
george washington university,gwu.edu
albertsons,albertsons.com
outback steakhouse,outback.com
carnegie mellon university,cmu.edu
panalpina,panalpina.com
viacom,viacomcareers.com
university of south carolina,sc.edu
gpa,gpabr.com
university of chicago,
university of copenhagen,ku.dk
dunkin donuts,dunkindonuts.com
uc irvine,uci.edu
pirelli,pirelli.com
aiesec,aiesec.org
primark stores limited,primark.com
st. jude medical,sjm.com
virgin media,virginmedia.com
levi strauss & co.,levistrauss.com
university at buffalo,buffalo.edu
thomas cook,thomascook.com
norton rose fulbright,nortonrosefulbright.com
holcim,holcim.com
university of tennessee,utk.edu
"turner (turner broadcasting system, inc)",turner.com
westinghouse electric company,westinghousenuclear.com
tivit,tivit.com.br
lululemon athletica,lululemon.com
clemson university,clemson.edu
mindshare,mindshareworld.com
university of colorado boulder,
acs,
compucom,compucom.com
emerson network power,emersonnetworkpower.com
university of north texas,unt.edu
university of notre dame,nd.edu
chili's,chilis.com
fmc technologies,fmctechnologies.com
chick-fil-a,chick-fil-a.com
university of iowa,uiowa.edu
u.s. house of representatives,house.gov
texas tech university,ttu.edu
university of connecticut,uconn.edu
national university of singapore,nus.edu.sg
university of delaware,udel.edu
burberry,burberrycareers.com
rsa,rsagroup.com
conagra foods,conagrabrands.com
aarhus university,au.dk
washington state university,wsu.edu
balfour beatty plc,balfourbeatty.com
european parliament,
tj maxx,
chipotle mexican grill,chipotle.com
menards,menards.com
ohio university,ohio.edu
media markt,mediamarkt.com
contax,liq.com.br
coach,coach.com
sfr,numericable-sfr.com
freescale semiconductor,freescale.com
syracuse university,syr.edu
the wendy's company,wendys.com
technicolor,technicolor.com
visteon corporation,visteon.com
amec,
sony pictures entertainment,sonypictures.com
saks fifth avenue,saks.com
michael kors,michaelkors.com
john lewis,johnlewispartnership.co.uk
brown university,brown.edu
jumbo supermarkten,jumbo.com
blackberry,blackberry.com
sony music entertainment,sonymusic.com
university of amsterdam,uva.nl
niit limited,niit.com
british gas,britishgas.co.uk
hyatt regency,
cmc ltd,cmcltd.com
georgetown university,georgetown.edu
express,express.com
itt technical institute,itt-tech.edu
sony electronics,sonyjobs.com
neiman marcus,neimanmarcus.com
teletech,ttec.nl
starcom,starcomww.com
discovery communications,discovery.com
ibm canada,
eastman kodak,kodak.com
albert heijn,ah.nl
university of waterloo,
edelman,edelman.com
waitrose,waitrose.com
next group plc,next.co.uk
j. walter thompson worldwide,jwt.com
achmea,achmea.nl
leo burnett,leoburnett.com
bearingpoint,bearingpoint.com
university of massachusetts amherst,umass.edu
cnn,cnn.com
sonda,sonda.com
devry university,devry.edu
"ann inc. (parent company of ann taylor, loft & lou & grey)",anninc.com
boy scouts of america,scouting.org
j.crew,jcrew.com
pricewaterhousecoopers,
qwest communications,
university of groningen,rug.nl
dairy queen,dairyqueen.com
vrije universiteit amsterdam,vu.nl
debenhams,debenhams.com
bloomingdale's,bloomingdales.com
tommy hilfiger,tommy.com
pier 1 imports,pier1.com
ims health,imshealth.com
sofitel luxury hotels and resorts,sofitel.com
gap inc./ banana republic,bananarepublic.com
tns,tnsglobal.com
gap,
vector marketing,vectormarketing.com
us census bureau,census.gov
hollister co.,hollisterco.com
dun & bradstreet,dnb.com
clifford chance llp,cliffordchance.com
oxfam,oxfam.org.uk
geek squad,geeksquad.com
itv,itvplc.com
sungard,sungard.com
club med,clubmed.com
urban outfitters,urbanoutfitters.com
"sears, roebuck and co.",sears.com
fnac,fnac.com
officemax,officemax.com
stream global services,stream.com
anthropologie,anthropologie.com
sun microsystems,sun.com
radioshack,radioshack.com
topshop topman,topshop.com
aeropostale,aeropostale.com
havas,havas.com
nortel,nortel.com
aol,aol.com
saatchi & saatchi,saatchi.com
mccann erickson,mccann.com
young & rubicam,yr.com
americorps,nationalservice.gov
kumon,kumon.com
kraft foods group,kraftfoodsgroup.com
halifax,halifax.co.uk
lehman brothers,lehman.com
israel defense forces,
blockbuster,blockbuster.com
circuit city,circuitcity.com
netflix,netflix.com